date,region,coal,gas_naptha_and_diesel,hydro,lignite,nuclear,res_wind_solar_biomass_and_others,solar_gen_mu,thermal_coal_and_lignite,total,wind_genmu
2013-06-01,NER,,,19.0,,,,,,33.0,0.0
2013-06-01,NR,,,280.0,,,,,,887.0,17.0
2013-06-01,SR,,,32.0,,,,,,628.0,65.0
2013-06-01,WR,,,41.0,,,,,,842.0,36.0
2013-06-02,ER,,,70.0,,,,,,295.0,0.0
2013-06-02,NER,,,17.0,,,,,,34.0,0.0
2013-06-02,NR,,,288.0,,,,,,860.0,17.0
2013-06-02,SR,,,25.0,,,,,,609.0,75.0
2013-06-02,WR,,,25.0,,,,,,801.0,20.0
2013-06-04,ER,,,73.0,,,,,,318.0,0.0
2013-06-04,NER,,,14.0,,,,,,33.0,0.0
2013-06-04,NR,,,292.0,,,,,,908.0,8.0
2013-06-04,SR,,,39.0,,,,,,651.0,76.0
2013-06-04,WR,,,35.0,,,,,,806.0,17.0
2013-06-05,ER,,,71.0,,,,,,315.0,0.0
2013-06-05,NER,,,14.0,,,,,,34.0,0.0
2013-06-05,NR,,,292.0,,,,,,921.0,20.0
2013-06-05,SR,,,46.0,,,,,,669.0,74.0
2013-06-05,WR,,,33.0,,,,,,798.0,27.0
2013-06-06,ER,,,71.0,,,,,,319.0,0.0
2013-06-06,NER,,,12.0,,,,,,32.0,0.0
2013-06-06,NR,,,278.0,,,,,,884.0,29.0
2013-06-06,SR,,,35.0,,,,,,657.0,82.0
2013-06-06,WR,,,27.0,,,,,,805.0,34.0
2013-06-07,ER,,,66.0,,,,,,316.0,0.0
2013-06-07,NER,,,13.0,,,,,,32.0,0.0
2013-06-07,NR,,,286.0,,,,,,867.0,22.0
2013-06-07,SR,,,28.0,,,,,,656.0,83.0
2013-06-07,WR,,,28.0,,,,,,768.0,23.0
2013-06-08,ER,,,58.0,,,,,,309.0,0.0
2013-06-08,NER,,,13.0,,,,,,32.0,0.0
2013-06-08,NR,,,296.0,,,,,,910.0,18.0
2013-06-08,SR,,,27.0,,,,,,641.0,91.0
2013-06-08,WR,,,34.0,,,,,,772.0,18.0
2013-06-09,ER,,,64.0,,,,,,311.0,0.0
2013-06-09,NER,,,13.0,,,,,,33.0,0.0
2013-06-09,NR,,,288.0,,,,,,894.0,17.0
2013-06-09,SR,,,25.0,,,,,,618.0,89.0
2013-06-09,WR,,,25.0,,,,,,741.0,33.0
2013-06-10,ER,,,63.0,,,,,,305.0,0.0
2013-06-10,NER,,,15.0,,,,,,35.0,0.0
2013-06-10,NR,,,242.0,,,,,,909.0,10.0
2013-06-10,SR,,,37.0,,,,,,648.0,89.0
2013-06-10,WR,,,28.0,,,,,,749.0,33.0
2013-06-11,ER,,,59.0,,,,,,316.0,0.0
2013-06-11,NER,,,15.0,,,,,,35.0,0.0
2013-06-11,NR,,,268.0,,,,,,866.0,6.0
2013-06-11,SR,,,29.0,,,,,,658.0,97.0
2013-06-11,WR,,,24.0,,,,,,749.0,33.0
2013-06-12,ER,,,55.0,,,,,,311.0,0.0
2013-06-12,NER,,,14.0,,,,,,33.0,0.0
2013-06-12,NR,,,299.0,,,,,,891.0,3.0
2013-06-12,SR,,,34.0,,,,,,649.0,103.0
2013-06-12,WR,,,27.0,,,,,,690.0,36.0
2013-06-13,ER,,,52.0,,,,,,301.0,0.0
2013-06-13,NER,,,13.0,,,,,,34.0,0.0
2013-06-13,NR,,,286.0,,,,,,831.0,1.0
2013-06-13,SR,,,33.0,,,,,,641.0,109.0
2013-06-13,WR,,,23.0,,,,,,692.0,31.0
2013-06-14,ER,,,52.0,,,,,,299.0,0.0
2013-06-14,NER,,,13.0,,,,,,35.0,0.0
2013-06-14,NR,,,296.0,,,,,,854.0,2.0
2013-06-14,SR,,,36.0,,,,,,645.0,115.0
2013-06-14,WR,,,26.0,,,,,,727.0,36.0
2013-06-15,ER,,,50.0,,,,,,300.0,0.0
2013-06-15,NER,,,12.0,,,,,,35.0,0.0
2013-06-15,NR,,,267.0,,,,,,762.0,3.0
2013-06-15,SR,,,36.0,,,,,,645.0,112.0
2013-06-15,WR,,,39.0,,,,,,704.0,31.0
2013-06-16,ER,,,60.0,,,,,,299.0,0.0
2013-06-16,NER,,,13.0,,,,,,33.0,0.0
2013-06-16,NR,,,244.0,,,,,,684.0,6.0
2013-06-16,SR,,,40.0,,,,,,634.0,102.0
2013-06-16,WR,,,38.0,,,,,,673.0,39.0
2013-06-17,ER,,,59.0,,,,,,324.0,0.0
2013-06-17,NER,,,14.0,,,,,,35.0,0.0
2013-06-17,NR,,,169.0,,,,,,672.0,7.0
2013-06-17,SR,,,56.0,,,,,,675.0,104.0
2013-06-17,WR,,,52.0,,,,,,677.0,43.0
2013-06-18,ER,,,57.0,,,,,,331.0,0.0
2013-06-18,NER,,,15.0,,,,,,34.0,0.0
2013-06-18,NR,,,184.0,,,,,,753.0,10.0
2013-06-18,SR,,,60.0,,,,,,694.0,110.0
2013-06-18,WR,,,63.0,,,,,,695.0,43.0
2013-06-19,ER,,,59.0,,,,,,320.0,0.0
2013-06-19,NER,,,16.0,,,,,,35.0,0.0
2013-06-19,NR,,,206.0,,,,,,808.0,8.0
2013-06-19,SR,,,67.0,,,,,,699.0,96.0
2013-06-19,WR,,,71.0,,,,,,717.0,23.0
2013-06-20,ER,,,59.0,,,,,,295.0,0.0
2013-06-20,NER,,,17.0,,,,,,36.0,0.0
2013-06-20,NR,,,257.0,,,,,,889.0,18.0
2013-06-20,SR,,,64.0,,,,,,710.0,98.0
2013-06-20,WR,,,66.0,,,,,,726.0,25.0
2013-06-21,ER,,,63.0,,,,,,312.0,0.0
2013-06-21,NER,,,15.0,,,,,,36.0,0.0
2013-06-21,NR,,,271.0,,,,,,922.0,30.0
2013-06-21,SR,,,68.0,,,,,,717.0,102.0
2013-06-21,WR,,,61.0,,,,,,733.0,48.0
2013-06-22,ER,,,66.0,,,,,,308.0,0.0
2013-06-22,NER,,,16.0,,,,,,34.0,0.0
2013-06-22,NR,,,278.0,,,,,,934.0,31.0
2013-06-22,SR,,,60.0,,,,,,703.0,106.0
2013-06-22,WR,,,57.0,,,,,,744.0,54.0
2013-06-23,ER,,,63.0,,,,,,316.0,0.0
2013-06-23,NER,,,17.0,,,,,,33.0,0.0
2013-06-23,NR,,,280.0,,,,,,938.0,27.0
2013-06-23,SR,,,43.0,,,,,,667.0,95.0
2013-06-23,WR,,,57.0,,,,,,718.0,39.0
2013-06-24,ER,,,68.0,,,,,,311.0,0.0
2013-06-24,NER,,,16.0,,,,,,34.0,0.0
2013-06-24,NR,,,260.0,,,,,,957.0,25.0
2013-06-24,SR,,,50.0,,,,,,678.0,100.0
2013-06-24,WR,,,60.0,,,,,,738.0,41.0
2013-06-25,ER,,,75.0,,,,,,326.0,0.0
2013-06-25,NER,,,17.0,,,,,,31.0,0.0
2013-06-25,NR,,,275.0,,,,,,940.0,18.0
2013-06-25,SR,,,62.0,,,,,,665.0,90.0
2013-06-25,WR,,,52.0,,,,,,726.0,44.0
2013-06-26,ER,,,69.0,,,,,,312.0,0.0
2013-06-26,NER,,,18.0,,,,,,33.0,0.0
2013-06-26,NR,,,280.0,,,,,,987.0,26.0
2013-06-26,SR,,,63.0,,,,,,685.0,90.0
2013-06-26,WR,,,60.0,,,,,,716.0,53.0
2013-06-27,ER,,,71.0,,,,,,315.0,0.0
2013-06-27,NER,,,24.0,,,,,,34.0,0.0
2013-06-27,NR,,,248.0,,,,,,923.0,33.0
2013-06-27,SR,,,65.0,,,,,,695.0,96.0
2013-06-27,WR,,,57.0,,,,,,713.0,64.0
2013-06-29,ER,,,75.0,,,,,,300.0,0.0
